application_id,gender,age,region,income,credit_score,loan_amount,employment_type,existing_loans,rejected
APP100045,Female,42,Tier1,43725.0,528.0,633299.0,Self-employed,4,1
APP100046,Male,26,Tier3,46872.0,616.0,50000.0,Self-employed,4,1
APP100047,Male,46,Tier1,45748.0,612.0,324222.0,Salaried,1,0
APP100048,Female,29,Tier2,79710.0,692.0,326101.0,Salaried,1,0
APP100049,Male,35,Tier1,54182.0,582.0,145416.0,Unemployed,1,1
APP100050,Male,39,Tier1,56582.0,815.0,314288.0,Unemployed,3,1
APP100051,Male,28,Tier2,46187.0,683.0,415439.0,Salaried,1,1
APP100052,Female,38,Tier1,64257.0,670.0,314474.0,Self-employed,4,1
APP100053,Female,33,Tier2,81986.0,807.0,507669.0,Salaried,4,1
APP100054,Female,58,Tier1,67957.0,679.0,50000.0,Salaried,3,1
APP100055,Female,58,Tier2,68737.0,712.0,173665.0,Unemployed,0,1
APP100056,Male,22,Tier3,67125.0,620.0,521258.0,Unemployed,3,0
APP100057,Female,47,Tier2,27395.0,570.0,436804.0,Unemployed,1,1
APP100058,Male,49,Tier1,37478.0,631.0,381077.0,Salaried,2,1
APP100059,Male,38,Tier2,50900.0,850.0,484982.0,Salaried,1,0
APP100060,Female,42,Tier3,40483.0,731.0,50000.0,Self-employed,0,0
APP100061,Male,55,Tier1,33709.0,702.0,419342.0,Self-employed,3,1
APP100062,Female,38,Tier1,17556.0,602.0,459656.0,Salaried,2,1
APP100063,Female,24,Tier3,28069.0,753.0,201195.0,Salaried,3,1
APP100064,Female,38,Tier1,49869.0,571.0,694386.0,Salaried,2,0
APP100065,Female,32,Tier2,53611.0,555.0,329452.0,Self-employed,1,1
APP100066,Female,38,Tier3,39139.0,635.0,50000.0,Self-employed,0,1
APP100067,Male,31,Tier1,56579.0,836.0,357191.0,Salaried,1,1
APP100068,Male,28,Tier2,46323.0,832.0,192021.0,Salaried,4,0
APP100069,Male,64,Tier2,76811.0,644.0,474749.0,Salaried,3,0
APP100070,Male,27,Tier1,51767.0,626.0,382192.0,Salaried,2,0
APP100071,Male,52,Tier3,68927.0,549.0,210312.0,Salaried,0,0
APP100072,Female,52,Tier1,59064.0,686.0,525368.0,Salaried,4,1
APP100073,Male,48,Tier2,26959.0,693.0,440918.0,Self-employed,3,1
APP100074,Male,61,Tier3,53187.0,743.0,175812.0,Salaried,0,0
APP100075,Male,22,Tier1,30288.0,753.0,277193.0,Self-employed,1,1
APP100076,Male,34,Tier3,52838.0,664.0,377538.0,Salaried,0,0
APP100077,Female,29,Tier1,40097.0,724.0,245361.0,Salaried,4,1
APP100078,Female,46,Tier2,62639.0,624.0,249840.0,Salaried,4,1
APP100079,Female,49,Tier1,28153.0,723.0,305509.0,Self-employed,2,0
APP100080,Female,60,Tier2,55294.0,639.0,140130.0,Salaried,0,0
APP100081,Male,38,Tier3,66448.0,717.0,50000.0,Salaried,3,0
APP100082,Female,32,Tier3,73152.0,710.0,335870.0,Salaried,1,0
APP100083,Male,61,Tier3,39717.0,686.0,50000.0,Salaried,0,0
APP100084,Male,50,Tier2,55355.0,744.0,151044.0,Salaried,1,0
APP100085,Male,54,Tier3,58683.0,554.0,50000.0,Salaried,1,1
APP100086,Female,41,Tier2,85943.0,595.0,52733.0,Salaried,0,0
APP100087,Male,41,Tier3,25373.0,658.0,363953.0,Salaried,3,1
APP100088,Male,38,Tier2,36778.0,565.0,266654.0,Self-employed,1,0
APP100089,Male,54,Tier3,111089.0,647.0,261240.0,Salaried,2,0
APP100090,Male,31,Tier1,49538.0,650.0,102615.0,Unemployed,2,1
APP100091,Female,63,Tier2,17180.0,785.0,201623.0,Self-employed,3,0
APP100092,Male,29,Tier2,43349.0,691.0,356468.0,Salaried,3,0
APP100093,Male,41,Tier1,15000.0,762.0,292187.0,Self-employed,2,1
APP100094,Male,35,Tier1,59818.0,704.0,423401.0,Salaried,4,0
APP100095,Female,49,Tier3,71196.0,637.0,444764.0,Unemployed,2,0
APP100096,Male,51,Tier2,36767.0,691.0,262167.0,Unemployed,0,0
APP100097,Male,61,Tier1,45586.0,738.0,50000.0,Self-employed,4,0
APP100098,Male,55,Tier1,73473.0,775.0,186503.0,Salaried,3,0
APP100099,Female,32,Tier2,19996.0,669.0,285347.0,Unemployed,2,1
APP100100,Female,30,Tier2,28569.0,548.0,183527.0,Self-employed,1,1
APP100101,Female,60,Tier3,50438.0,543.0,141806.0,Self-employed,4,1
APP100102,Male,42,Tier3,39953.0,654.0,310463.0,Salaried,2,1
APP100103,Female,26,Tier2,49123.0,493.0,664545.0,Unemployed,1,1
APP100104,Female,57,Tier2,29725.0,824.0,226772.0,Self-employed,3,0
APP100105,Female,49,Tier1,59286.0,728.0,299579.0,Salaried,1,1
APP100106,Male,23,Tier3,52015.0,629.0,103195.0,Unemployed,2,1
APP100107,Male,55,Tier1,65984.0,591.0,486510.0,Self-employed,3,0
APP100108,Male,48,Tier1,59008.0,762.0,431211.0,Unemployed,1,0
APP100109,Female,48,Tier3,59134.0,591.0,420860.0,Salaried,0,1
APP100110,Male,59,Tier3,26074.0,599.0,503969.0,Salaried,1,0
APP100111,Male,43,Tier1,64852.0,619.0,235899.0,Self-employed,0,1
APP100112,Male,41,Tier2,48383.0,689.0,254637.0,Salaried,1,1
APP100113,Female,48,Tier2,51668.0,730.0,556482.0,Self-employed,0,0
APP100114,Male,30,Tier1,75965.0,775.0,394909.0,Self-employed,2,0
APP100115,Female,28,Tier1,40611.0,764.0,50000.0,Salaried,2,1
APP100116,Female,58,Tier1,82024.0,680.0,368223.0,Self-employed,1,1
APP100117,Female,31,Tier2,83890.0,762.0,212745.0,Salaried,3,1
APP100118,Male,43,Tier2,70056.0,626.0,434726.0,Self-employed,0,1
APP100119,Female,33,Tier2,35388.0,534.0,361229.0,Self-employed,0,0
APP100120,Female,31,Tier1,15000.0,626.0,50000.0,Salaried,2,0
APP100121,Female,47,Tier3,76577.0,615.0,340325.0,Salaried,0,1
APP100122,Male,56,Tier2,57228.0,629.0,331594.0,Salaried,4,1
APP100123,Male,41,Tier3,40096.0,603.0,354519.0,Salaried,1,0
APP100124,Male,27,Tier1,78471.0,643.0,386329.0,Self-employed,2,0
APP100125,Male,32,Tier2,37769.0,730.0,524395.0,Salaried,1,1
APP100126,Male,29,Tier3,46517.0,817.0,362083.0,Salaried,2,0
APP100127,Male,59,Tier1,65498.0,542.0,303435.0,Salaried,0,0
APP100128,Male,35,Tier1,32728.0,577.0,472195.0,Self-employed,4,1
APP100129,Female,38,Tier1,52810.0,617.0,636411.0,Self-employed,0,0
APP100130,Male,25,Tier1,76783.0,741.0,437261.0,Salaried,1,0
APP100131,Female,41,Tier2,59222.0,664.0,330931.0,Salaried,4,1
APP100132,Female,61,Tier1,79949.0,622.0,364880.0,Salaried,2,0
APP100133,Male,39,Tier1,77672.0,737.0,338407.0,Salaried,3,0
APP100134,Female,50,Tier2,55155.0,757.0,302778.0,Salaried,0,0
APP100135,Male,29,Tier1,15000.0,678.0,624776.0,Self-employed,1,1
APP100136,Female,28,Tier1,32885.0,615.0,187642.0,Salaried,3,1
APP100137,Male,53,Tier2,70267.0,702.0,473236.0,Salaried,1,0
APP100138,Female,24,Tier1,23995.0,661.0,281121.0,Self-employed,2,1
APP100139,Male,41,Tier1,48466.0,661.0,77937.0,Self-employed,0,0
APP100140,Male,35,Tier1,61770.0,639.0,271752.0,Salaried,2,0
APP100141,Male,22,Tier1,84391.0,754.0,217984.0,Salaried,1,1
APP100142,Female,44,Tier2,43500.0,700.0,386637.0,Self-employed,4,0
APP100143,Female,63,Tier1,42130.0,763.0,313695.0,Salaried,1,0
APP100144,Male,24,Tier1,53951.0,787.0,146696.0,Self-employed,4,0
APP100145,Male,57,Tier3,62018.0,717.0,520651.0,Self-employed,4,1
APP100146,Male,45,Tier3,51915.0,639.0,463520.0,Self-employed,4,0
APP100147,Male,53,Tier1,75985.0,763.0,537908.0,Salaried,3,1
APP100148,Male,26,Tier1,39017.0,717.0,335545.0,Salaried,2,1
APP100149,Male,59,Tier2,57403.0,850.0,294640.0,Self-employed,2,0
APP100150,Female,22,Tier3,63904.0,705.0,405534.0,Salaried,0,1
APP100151,Female,60,Tier3,46995.0,736.0,213379.0,Salaried,0,1
APP100152,Male,50,Tier1,71794.0,703.0,319509.0,Salaried,1,0
APP100153,Female,36,Tier1,57979.0,672.0,273648.0,Salaried,3,1
APP100154,Male,22,Tier2,70777.0,659.0,80845.0,Self-employed,0,1
APP100155,Female,48,Tier3,58882.0,704.0,319118.0,Unemployed,4,1
APP100156,Male,25,Tier3,62528.0,722.0,233855.0,Self-employed,4,1
APP100157,Female,48,Tier1,42352.0,772.0,263617.0,Salaried,0,1
APP100158,Female,55,Tier2,42385.0,705.0,354568.0,Unemployed,0,1
APP100159,Female,33,Tier1,79488.0,643.0,490880.0,Self-employed,4,1
APP100160,Male,32,Tier2,67710.0,654.0,172684.0,Salaried,0,0
APP100161,Female,31,Tier3,34541.0,574.0,249516.0,Self-employed,0,0
APP100162,Male,31,Tier2,58617.0,813.0,185238.0,Salaried,0,0
APP100163,Male,26,Tier1,15000.0,637.0,175473.0,Salaried,3,1
APP100164,Female,32,Tier2,43521.0,757.0,210815.0,Self-employed,0,1
APP100165,Male,50,Tier2,74221.0,702.0,270532.0,Salaried,0,0
APP100166,Female,35,Tier3,52497.0,704.0,387881.0,Salaried,1,0
APP100167,Female,55,Tier1,57358.0,671.0,348067.0,Self-employed,3,1
APP100168,Male,57,Tier3,15000.0,617.0,141471.0,Salaried,4,1
APP100169,Female,54,Tier1,47155.0,603.0,494124.0,Salaried,1,1
APP100170,Male,45,Tier1,61765.0,818.0,441662.0,Salaried,1,0
APP100171,Male,35,Tier1,64306.0,689.0,164822.0,Self-employed,2,1
APP100172,Male,61,Tier1,74247.0,770.0,483617.0,Self-employed,2,1
APP100173,Female,30,Tier1,50795.0,791.0,349041.0,Salaried,3,1
APP100174,Male,41,Tier2,51687.0,647.0,276532.0,Self-employed,1,0
APP100175,Male,41,Tier1,28358.0,714.0,353712.0,Salaried,3,0
APP100176,Male,54,Tier1,50910.0,684.0,296134.0,Salaried,4,0
APP100177,Female,45,Tier1,29768.0,587.0,381762.0,Salaried,3,1
APP100178,Female,56,Tier1,18043.0,665.0,328097.0,Salaried,3,1
APP100179,Female,61,Tier3,33296.0,727.0,249386.0,Salaried,0,1
APP100180,Female,38,Tier3,85174.0,640.0,50000.0,Self-employed,4,1
APP100181,Female,59,Tier1,49589.0,654.0,379077.0,Self-employed,3,1
APP100182,Male,29,Tier3,59398.0,666.0,243952.0,Unemployed,3,1
APP100183,Male,61,Tier2,44730.0,849.0,416692.0,Unemployed,0,1
APP100184,Female,29,Tier3,19189.0,533.0,372251.0,Salaried,2,1
APP100185,Female,58,Tier1,73722.0,720.0,247850.0,Salaried,3,0
APP100186,Male,38,Tier1,15000.0,660.0,453448.0,Salaried,3,1
APP100187,Male,63,Tier2,43904.0,629.0,330726.0,Salaried,0,1
APP100188,Female,27,Tier3,53908.0,658.0,324546.0,Self-employed,0,1
APP100189,Male,42,Tier2,59610.0,733.0,279283.0,Salaried,2,0
APP100190,Female,60,Tier2,40471.0,738.0,552533.0,Salaried,3,1
APP100191,Male,24,Tier1,18241.0,695.0,193010.0,Salaried,1,0
APP100192,Male,33,Tier2,38978.0,767.0,251599.0,Self-employed,3,1
APP100193,Female,25,Tier3,40025.0,782.0,114400.0,Salaried,4,1
APP100194,Male,35,Tier2,39538.0,745.0,409010.0,Self-employed,4,1
APP100195,Male,38,Tier2,74401.0,636.0,212678.0,Salaried,3,1
APP100196,Female,48,Tier2,30728.0,720.0,229495.0,Salaried,3,0
APP100197,Female,33,Tier2,61020.0,720.0,222460.0,Salaried,0,1
APP100198,Male,28,Tier2,58166.0,615.0,309408.0,Self-employed,0,0
APP100199,Male,29,Tier3,74209.0,554.0,112386.0,Self-employed,3,0
APP100200,Female,62,Tier3,52337.0,518.0,50000.0,Salaried,4,1
APP100201,Female,62,Tier2,70823.0,686.0,368656.0,Salaried,0,1
APP100202,Male,31,Tier1,51556.0,704.0,50000.0,Salaried,2,1
APP100203,Male,30,Tier2,63688.0,585.0,428121.0,Salaried,1,0
APP100204,Male,24,Tier1,24941.0,764.0,533779.0,Salaried,0,1
APP100205,Male,63,Tier1,15000.0,692.0,275366.0,Salaried,1,0
APP100206,Male,52,Tier1,62551.0,788.0,494924.0,Self-employed,2,0
APP100207,Female,54,Tier2,63624.0,710.0,296362.0,Self-employed,3,1
APP100208,Male,34,Tier1,64510.0,595.0,539886.0,Self-employed,4,0
APP100209,Male,49,Tier1,44501.0,717.0,231567.0,Self-employed,4,1
APP100210,Female,24,Tier3,84794.0,734.0,50000.0,Unemployed,0,1
APP100211,Female,51,Tier1,45802.0,636.0,288013.0,Unemployed,4,1
APP100212,Male,46,Tier2,63418.0,565.0,556194.0,Salaried,2,0
APP100213,Female,36,Tier3,66893.0,688.0,380245.0,Salaried,0,1
APP100214,Female,52,Tier2,89375.0,600.0,222702.0,Salaried,3,1
APP100215,Female,49,Tier1,48659.0,770.0,349335.0,Self-employed,0,1
APP100216,Male,40,Tier1,41936.0,647.0,445669.0,Salaried,2,1
APP100217,Male,30,Tier2,25037.0,818.0,287158.0,Salaried,4,0
APP100218,Female,23,Tier2,86047.0,510.0,693959.0,Salaried,4,1
APP100219,Male,62,Tier1,63428.0,691.0,222387.0,Self-employed,1,0
APP100220,Male,34,Tier2,64061.0,794.0,450377.0,Salaried,0,0
APP100221,Male,34,Tier2,117334.0,609.0,414291.0,Self-employed,2,0
APP100222,Female,51,Tier1,61501.0,667.0,195026.0,Salaried,0,0
APP100223,Female,32,Tier2,28954.0,648.0,236334.0,Self-employed,4,1
APP100224,Male,38,Tier1,51082.0,625.0,452715.0,Salaried,1,0
APP100225,Female,52,Tier1,35504.0,700.0,321718.0,Self-employed,0,0
APP100226,Male,47,Tier3,47083.0,576.0,350711.0,Salaried,1,0
APP100227,Female,50,Tier1,46948.0,671.0,54605.0,Salaried,1,1
APP100228,Female,22,Tier2,43260.0,721.0,398400.0,Unemployed,3,1
APP100229,Male,41,Tier2,27134.0,663.0,343095.0,Unemployed,4,1
APP100230,Male,42,Tier1,86850.0,600.0,290413.0,Self-employed,3,0
APP100231,Male,49,Tier3,60977.0,762.0,354134.0,Unemployed,3,1
APP100232,Female,28,Tier1,50491.0,738.0,238617.0,Salaried,1,1
APP100233,Female,28,Tier1,70153.0,597.0,211215.0,Salaried,4,0
APP100234,Female,54,Tier3,64421.0,576.0,263717.0,Salaried,4,1
APP100235,Female,50,Tier2,60514.0,604.0,230370.0,Self-employed,3,1
APP100236,Male,56,Tier2,68700.0,724.0,627079.0,Self-employed,3,0
APP100237,Female,33,Tier1,57679.0,702.0,436781.0,Unemployed,1,1
APP100238,Male,64,Tier1,68404.0,743.0,154730.0,Self-employed,2,0
APP100239,Male,33,Tier2,70062.0,654.0,605444.0,Self-employed,4,0
APP100240,Female,49,Tier1,58254.0,606.0,235072.0,Salaried,2,0
APP100241,Female,28,Tier1,50592.0,754.0,304418.0,Salaried,3,1
APP100242,Male,61,Tier3,85608.0,636.0,434613.0,Salaried,4,0
APP100243,Male,36,Tier1,45442.0,695.0,50000.0,Self-employed,4,0
APP100244,Female,56,Tier1,62826.0,556.0,264446.0,Salaried,1,1
APP100245,Female,36,Tier1,63278.0,634.0,214000.0,Unemployed,2,1
APP100246,Female,56,Tier2,42809.0,761.0,330762.0,Self-employed,1,0
APP100247,Male,41,Tier2,38844.0,623.0,355507.0,Salaried,2,1
APP100248,Male,24,Tier3,47923.0,745.0,288411.0,Self-employed,3,0
APP100249,Male,30,Tier1,45156.0,494.0,281453.0,Salaried,1,1
APP100250,Female,51,Tier1,25837.0,635.0,459770.0,Self-employed,1,1
APP100251,Female,30,Tier2,41970.0,666.0,345223.0,Salaried,1,0
APP100252,Male,33,Tier2,60324.0,819.0,306214.0,Salaried,3,1
APP100253,Male,45,Tier2,80319.0,586.0,322181.0,Salaried,4,0
APP100254,Male,32,Tier3,66088.0,734.0,575383.0,Salaried,0,0
APP100255,Female,27,Tier2,15000.0,765.0,325901.0,Self-employed,4,1
APP100256,Female,48,Tier2,67826.0,622.0,222833.0,Unemployed,0,1
APP100257,Male,51,Tier3,43837.0,650.0,50000.0,Self-employed,2,0
APP100258,Male,53,Tier1,64062.0,691.0,84909.0,Salaried,0,0
APP100259,Female,62,Tier3,54717.0,561.0,229946.0,Unemployed,4,1
APP100260,Male,27,Tier2,51146.0,644.0,283743.0,Salaried,3,1
APP100261,Female,40,Tier2,52955.0,782.0,216657.0,Salaried,1,1
APP100262,Male,32,Tier3,54552.0,722.0,352672.0,Self-employed,3,1
APP100263,Male,60,Tier2,81888.0,667.0,214724.0,Unemployed,4,0
APP100264,Female,45,Tier2,54607.0,689.0,162827.0,Unemployed,1,1
APP100265,Male,26,Tier1,76711.0,726.0,391897.0,Self-employed,3,1
APP100266,Male,51,Tier2,73798.0,742.0,505409.0,Salaried,1,1
APP100267,Male,23,Tier2,68341.0,635.0,133925.0,Salaried,3,0
APP100268,Male,33,Tier1,19268.0,803.0,336557.0,Salaried,2,0
APP100269,Male,53,Tier2,77333.0,785.0,50000.0,Salaried,3,0
APP100270,Male,43,Tier2,45842.0,734.0,78819.0,Salaried,3,1
APP100271,Male,54,Tier2,69315.0,613.0,211685.0,Salaried,3,1
APP100272,Male,46,Tier1,35549.0,598.0,470237.0,Salaried,0,1
APP100273,Female,58,Tier2,31299.0,654.0,183194.0,Salaried,4,1
APP100274,Female,46,Tier1,94528.0,685.0,177585.0,Self-employed,0,1
APP100275,Male,24,Tier1,35860.0,539.0,305413.0,Salaried,1,1
APP100276,Male,25,Tier2,77922.0,720.0,305563.0,Salaried,2,0
APP100277,Male,55,Tier1,57368.0,783.0,182230.0,Self-employed,4,1
APP100278,Female,23,Tier1,46598.0,726.0,597933.0,Self-employed,3,0
APP100279,Female,38,Tier2,54103.0,626.0,260195.0,Salaried,0,0
APP100280,Male,22,Tier1,28978.0,616.0,317038.0,Salaried,1,0
APP100281,Male,35,Tier3,54725.0,704.0,239733.0,Unemployed,0,1
APP100282,Male,47,Tier3,33345.0,668.0,365996.0,Self-employed,2,1
APP100283,Male,29,Tier2,47091.0,715.0,485244.0,Salaried,3,1
APP100284,Female,42,Tier3,73506.0,728.0,549550.0,Salaried,3,1
APP100285,Male,64,Tier3,60084.0,767.0,185660.0,Salaried,3,1
APP100286,Male,25,Tier1,25357.0,589.0,465119.0,Salaried,3,1
APP100287,Male,24,Tier2,72030.0,698.0,382452.0,Salaried,4,1
APP100288,Male,33,Tier1,54858.0,651.0,446180.0,Unemployed,4,1
APP100289,Male,57,Tier2,44156.0,672.0,286218.0,Salaried,1,0
APP100290,Female,39,Tier2,69934.0,749.0,271944.0,Salaried,1,0
APP100291,Male,49,Tier1,51656.0,758.0,440357.0,Self-employed,0,0
APP100292,Female,23,Tier1,31687.0,792.0,443204.0,Salaried,1,1
APP100293,Male,53,Tier3,91956.0,714.0,534858.0,Self-employed,2,1
APP100294,Female,24,Tier1,54654.0,671.0,329782.0,Salaried,3,0
APP100295,Female,52,Tier1,53372.0,660.0,283963.0,Salaried,4,0
APP100296,Female,28,Tier1,46898.0,541.0,50000.0,Salaried,2,1
APP100297,Female,58,Tier2,78599.0,787.0,58311.0,Unemployed,4,0
APP100298,Female,34,Tier3,44502.0,654.0,240862.0,Self-employed,2,1
APP100299,Female,29,Tier3,24100.0,720.0,134841.0,Self-employed,4,1
APP100300,Female,36,Tier2,41426.0,734.0,422120.0,Salaried,4,1
APP100301,Male,22,Tier1,81535.0,580.0,103497.0,Self-employed,2,0
APP100302,Male,29,Tier1,71643.0,606.0,224804.0,Salaried,4,0
APP100303,Male,47,Tier2,49900.0,804.0,230696.0,Self-employed,4,0
APP100304,Female,34,Tier3,82465.0,703.0,480711.0,Salaried,1,1
APP100305,Male,37,Tier2,69959.0,634.0,208764.0,Self-employed,1,1
APP100306,Male,56,Tier2,49668.0,670.0,367862.0,Salaried,0,1
APP100307,Female,27,Tier2,51682.0,767.0,329356.0,Salaried,4,1
APP100308,Male,39,Tier2,61586.0,755.0,435493.0,Self-employed,2,1
APP100309,Male,30,Tier2,38362.0,563.0,427532.0,Salaried,2,0
APP100310,Male,42,Tier2,55090.0,811.0,294984.0,Salaried,1,0
APP100311,Male,36,Tier2,61170.0,757.0,50000.0,Unemployed,1,0
APP100312,Male,23,Tier2,21261.0,668.0,265239.0,Salaried,2,1
APP100313,Male,25,Tier3,51214.0,585.0,297007.0,Salaried,2,0
APP100314,Male,58,Tier2,48939.0,764.0,342901.0,Self-employed,0,0
APP100315,Male,24,Tier1,75561.0,718.0,189367.0,Self-employed,3,1
APP100316,Male,55,Tier1,18110.0,563.0,471135.0,Salaried,1,1
APP100317,Female,61,Tier2,47370.0,661.0,302043.0,Salaried,1,0
APP100318,Male,42,Tier2,45365.0,850.0,161925.0,Salaried,0,0
APP100319,Female,35,Tier2,74201.0,681.0,231266.0,Salaried,0,0
APP100320,Female,55,Tier2,54129.0,621.0,589281.0,Self-employed,1,1
APP100321,Male,64,Tier1,90922.0,599.0,399657.0,Unemployed,3,1
APP100322,Male,27,Tier2,68244.0,822.0,457268.0,Salaried,4,0
APP100323,Male,63,Tier2,46796.0,748.0,143762.0,Salaried,4,1
APP100324,Female,62,Tier2,59793.0,793.0,196676.0,Self-employed,1,0
APP100325,Female,28,Tier2,47919.0,700.0,197787.0,Salaried,3,0
APP100326,Female,24,Tier1,72188.0,780.0,327659.0,Self-employed,1,0
APP100327,Male,52,Tier2,28356.0,612.0,273900.0,Salaried,0,0
APP100328,Female,25,Tier3,38526.0,693.0,226576.0,Salaried,2,1
APP100329,Male,47,Tier3,64114.0,703.0,245390.0,Self-employed,3,1
APP100330,Female,24,Tier2,79515.0,791.0,180895.0,Unemployed,3,1
APP100331,Male,51,Tier1,15000.0,706.0,273024.0,Salaried,0,1
APP100332,Female,31,Tier2,82489.0,630.0,466982.0,Self-employed,3,1
APP100333,Female,26,Tier2,52197.0,685.0,73029.0,Salaried,1,0
APP100334,Male,24,Tier1,17323.0,546.0,351972.0,Salaried,1,1
APP100335,Female,30,Tier3,15000.0,494.0,507014.0,Salaried,0,1
APP100336,Male,45,Tier1,24412.0,747.0,272522.0,Salaried,1,1
APP100337,Female,25,Tier1,54606.0,650.0,220669.0,Self-employed,2,0
APP100338,Male,56,Tier1,53682.0,659.0,438635.0,Salaried,0,0
APP100339,Female,47,Tier1,67664.0,746.0,152367.0,Salaried,1,0
APP100340,Male,34,Tier3,44010.0,792.0,296596.0,Salaried,2,1
APP100341,Female,64,Tier2,32839.0,723.0,144023.0,Self-employed,0,1
APP100342,Female,50,Tier1,46738.0,834.0,50000.0,Unemployed,4,1
APP100343,Female,50,Tier2,55672.0,720.0,277202.0,Salaried,1,1
APP100344,Female,29,Tier2,59615.0,704.0,110491.0,Salaried,3,0
APP100345,Female,52,Tier1,39217.0,699.0,298249.0,Unemployed,3,1
APP100346,Female,46,Tier1,73029.0,577.0,467254.0,Salaried,3,0
APP100347,Male,64,Tier2,42572.0,756.0,578138.0,Self-employed,1,0
APP100348,Female,42,Tier1,37606.0,484.0,314029.0,Salaried,0,1
APP100349,Male,51,Tier3,44152.0,633.0,452882.0,Self-employed,0,0
APP100350,Female,36,Tier1,76497.0,682.0,359844.0,Salaried,1,1
APP100351,Male,23,Tier2,52344.0,617.0,242533.0,Salaried,2,1
APP100352,Female,27,Tier3,41110.0,644.0,50000.0,Salaried,3,1
APP100353,Female,59,Tier1,73522.0,827.0,543974.0,Salaried,3,1
APP100354,Male,53,Tier1,97855.0,768.0,142635.0,Salaried,4,1
APP100355,Male,37,Tier3,59194.0,625.0,507416.0,Unemployed,4,1
APP100356,Female,52,Tier2,79677.0,642.0,380521.0,Salaried,1,0
APP100357,Female,22,Tier2,75722.0,578.0,153598.0,Salaried,2,0
APP100358,Male,23,Tier1,42887.0,736.0,346800.0,Salaried,4,0
APP100359,Female,43,Tier1,55533.0,660.0,619937.0,Salaried,3,0
APP100360,Female,48,Tier2,29349.0,523.0,530348.0,Salaried,2,1
APP100361,Male,62,Tier3,50901.0,688.0,223093.0,Salaried,4,1
